,DATE,SKU,CUSTOMER,CITY,PRICE,QUANTITY,SALESPERSON
232,2021-01-14,10,427,22,2565.0,60.0,0
233,2021-01-14,10,427,22,0.0,20.0,0
234,2021-01-14,12,11,67,699.2,10.0,5
235,2021-01-14,12,11,67,0.0,1.0,5
236,2021-01-14,26,11,67,5156.6,200.0,5
237,2021-01-14,26,11,67,0.0,40.0,5
238,2021-01-14,2,245,20,396.0,8.0,6
239,2021-01-15,25,514,13,2520.0,100.0,7
240,2021-01-15,25,514,13,0.0,20.0,7
241,2021-01-15,25,514,13,4158.0,40.0,7
242,2021-01-15,25,514,13,0.0,4.0,7
243,2021-01-15,25,514,13,26865.0,75.0,7
244,2021-01-15,25,514,13,0.0,5.0,7
245,2021-01-15,22,118,56,4670.97,300.0,0
246,2021-01-15,22,118,56,0.0,60.0,0
247,2021-01-15,30,514,13,1487.29,10.0,7
248,2021-01-15,13,514,13,306.0,20.0,7
249,2021-01-15,21,118,56,0.0,30.0,0
250,2021-01-15,27,514,13,5054.4,144.0,7
251,2021-01-15,27,514,13,0.0,48.0,7
252,2021-01-15,21,118,56,2335.48,150.0,0
253,2021-01-15,21,514,13,1296.0,90.0,7
254,2021-01-15,21,514,13,0.0,30.0,7
255,2021-01-15,30,514,13,0.0,1.0,7
256,2021-01-15,3,514,13,1800.0,100.0,7
257,2021-01-15,3,514,13,0.0,20.0,7
258,2021-01-15,10,506,40,3400.0,20.0,1
259,2021-01-15,10,506,40,0.0,4.0,1
260,2021-01-15,10,118,56,8758.06,200.0,0
261,2021-01-15,10,118,56,0.0,40.0,0
262,2021-01-15,12,243,39,1890.0,360.0,5
263,2021-01-15,12,243,39,0.0,120.0,5
264,2021-01-15,12,243,39,840.0,40.0,5
265,2021-01-15,12,243,39,0.0,8.0,5
266,2021-01-15,24,118,56,8758.06,600.0,0
267,2021-01-15,24,118,56,0.0,120.0,0
268,2021-01-15,24,514,13,1296.0,90.0,7
269,2021-01-15,24,514,13,0.0,30.0,7
270,2021-01-15,26,118,56,11677.42,400.0,0
271,2021-01-15,26,118,56,0.0,80.0,0
272,2021-01-18,25,439,35,880.0,8.0,4
273,2021-01-18,10,353,22,2400.0,60.0,0
274,2021-01-18,10,353,22,0.0,20.0,0
275,2021-01-18,1,322,1,3629.0,20.0,5
276,2021-01-18,1,322,1,0.0,2.0,5
277,2021-01-18,1,322,1,1064.0,20.0,5
278,2021-01-18,1,322,1,0.0,4.0,5
279,2021-01-18,37,515,38,1900.0,20.0,1
280,2021-01-18,25,535,47,0.0,1.0,0
281,2021-01-18,28,535,47,6062.5,125.0,0
282,2021-01-18,25,47,23,2800.0,100.0,5
283,2021-01-18,25,47,23,0.0,20.0,5
284,2021-01-18,25,322,1,2660.0,100.0,5
285,2021-01-18,25,322,1,0.0,20.0,5
286,2021-01-18,22,353,22,0.0,1.0,0
287,2021-01-18,22,20,57,2400.0,150.0,0
288,2021-01-18,22,20,57,0.0,30.0,0
289,2021-01-18,13,322,1,1615.0,100.0,5
290,2021-01-18,13,322,1,0.0,20.0,5
291,2021-01-18,13,353,22,0.0,1.0,0
292,2021-01-18,10,535,47,0.0,1.0,0
293,2021-01-18,10,287,47,2700.0,60.0,0
294,2021-01-18,10,287,47,0.0,20.0,0
295,2021-01-18,12,322,1,760.0,10.0,5
296,2021-01-18,12,322,1,0.0,1.0,5
297,2021-01-18,12,322,1,342.0,60.0,5
298,2021-01-18,12,322,1,0.0,20.0,5
299,2021-01-18,12,47,23,390.0,60.0,5
300,2021-01-18,12,47,23,0.0,20.0,5
301,2021-01-18,12,47,23,420.0,20.0,5
302,2021-01-18,12,47,23,0.0,4.0,5
303,2021-01-18,24,353,22,0.0,1.0,0
304,2021-01-18,24,20,57,4500.0,300.0,0
305,2021-01-18,24,20,57,0.0,90.0,0
306,2021-01-18,26,353,22,2700.0,100.0,0
307,2021-01-18,26,353,22,0.0,20.0,0
308,2021-01-18,36,4,65,10800.0,120.0,2
309,2021-01-19,28,310,56,15000.0,250.0,0
310,2021-01-19,17,310,56,100000.0,1000.0,0
311,2021-01-19,37,241,35,900.0,10.0,3
312,2021-01-19,25,241,35,0.0,3.0,3
313,2021-01-19,17,562,17,60000.0,600.0,7
314,2021-01-19,36,429,38,5400.0,60.0,1
315,2021-01-19,2,112,13,284.0,4.0,7
316,2021-01-19,28,241,35,0.0,3.0,3
317,2021-01-19,30,241,35,9559.32,60.0,3
318,2021-01-19,30,241,35,0.0,6.0,3
319,2021-01-19,20,562,17,27000.0,400.0,7
320,2021-01-19,12,241,35,0.0,2.0,3
321,2021-01-20,10,477,40,2700.0,60.0,1
322,2021-01-20,10,477,40,0.0,20.0,1
323,2021-01-20,10,477,40,740.0,4.0,1
324,2021-01-20,28,353,22,6250.0,125.0,0
325,2021-01-20,36,213,8,975.0,10.0,1
326,2021-01-20,11,213,8,2644.07,240.0,1
327,2021-01-20,11,213,8,0.0,80.0,1
328,2021-01-20,3,213,8,1800.0,100.0,1
329,2021-01-20,3,213,8,0.0,20.0,1
330,2021-01-20,26,353,22,2500.0,100.0,0
331,2021-01-20,26,353,22,0.0,20.0,0
332,2021-01-21,28,51,7,8125.0,125.0,2
333,2021-01-21,17,562,17,75840.0,790.0,7
334,2021-01-21,1,322,1,474.92,24.0,5
335,2021-01-21,1,584,5,2200.0,40.0,3
